Plot Title: cedar_light_pendant,,,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 20733886, SEN S/N: 20733886)","Intensity, Lux (LGR S/N: 20733886, SEN S/N: 20733886)",End Of File (LGR S/N: 20733886)
378,8/2/2020 11:00,24.255,21355.7,
379,8/2/2020 12:00,24.835,115734.1,
380,8/2/2020 13:00,25.028,23422.4,
381,8/2/2020 14:00,25.319,41333.6,
382,8/2/2020 15:00,25.61,198401.3,
383,8/2/2020 16:00,25.708,26178,
384,8/2/2020 17:00,25.61,24800.2,
385,8/2/2020 18:00,25.125,10677.8,
386,8/2/2020 19:00,24.545,2669.5,
387,8/2/2020 20:00,24.545,850.4,
388,8/2/2020 21:00,24.255,0,
389,8/2/2020 22:00,24.062,0,
390,8/2/2020 23:00,23.869,0,
391,8/3/2020 0:00,23.677,0,
392,8/3/2020 1:00,23.581,0,
393,8/3/2020 2:00,23.388,0,
394,8/3/2020 3:00,23.196,0,
395,8/3/2020 4:00,23.004,0,
396,8/3/2020 5:00,22.908,0,
397,8/3/2020 6:00,22.717,53.8,
398,8/3/2020 7:00,22.621,1377.8,
399,8/3/2020 8:00,22.908,7233.4,
400,8/3/2020 9:00,23.292,17222.3,
401,8/3/2020 10:00,23.677,27555.7,
402,8/3/2020 11:00,24.158,33066.9,
403,8/3/2020 12:00,24.835,49600.3,
404,8/3/2020 13:00,25.319,104711.8,
405,8/3/2020 14:00,25.708,44089.2,
406,8/3/2020 15:00,25.319,42711.4,
407,8/3/2020 16:00,25.708,33066.9,
408,8/3/2020 17:00,25.708,63378.2,
409,8/3/2020 18:00,25.319,9644.5,
410,8/3/2020 19:00,24.351,1636.1,
411,8/3/2020 20:00,24.255,699.7,
412,8/3/2020 21:00,24.158,0,
413,8/3/2020 22:00,24.158,0,
414,8/3/2020 23:00,24.062,0,
415,8/4/2020 0:00,23.869,0,
416,8/4/2020 1:00,23.677,0,
417,8/4/2020 2:00,23.484,0,
418,8/4/2020 3:00,23.292,0,
419,8/4/2020 4:00,23.196,0,
420,8/4/2020 5:00,23.004,0,
421,8/4/2020 6:00,22.812,43.1,
422,8/4/2020 7:00,22.717,1184,
423,8/4/2020 8:00,23.004,5166.7,
424,8/4/2020 9:00,23.484,17911.2,
425,8/4/2020 10:00,23.966,23422.4,
426,8/4/2020 11:00,24.545,31689.1,
427,8/4/2020 12:00,24.738,44089.2,
428,8/4/2020 13:00,25.319,37200.2,
429,8/4/2020 14:00,25.513,11022.3,
430,8/4/2020 15:00,25.513,39955.8,
431,8/4/2020 16:00,26,38578,
432,8/4/2020 17:00,25.805,39955.8,
433,8/4/2020 18:00,25.513,6200,
434,8/4/2020 19:00,24.448,1463.9,
435,8/4/2020 20:00,24.448,602.8,
436,8/4/2020 21:00,24.255,0,
437,8/4/2020 22:00,24.255,0,
438,8/4/2020 23:00,24.255,0,
439,8/5/2020 0:00,24.158,0,
440,8/5/2020 1:00,23.966,0,
441,8/5/2020 2:00,23.773,0,
442,8/5/2020 3:00,23.581,0,
443,8/5/2020 4:00,23.388,0,
444,8/5/2020 5:00,23.196,0,
445,8/5/2020 6:00,23.1,32.3,
446,8/5/2020 7:00,23.004,1097.9,
447,8/5/2020 8:00,23.292,6544.5,
448,8/5/2020 9:00,23.773,57867,
449,8/5/2020 10:00,23.773,19977.9,
450,8/5/2020 11:00,24.738,20666.8,
451,8/5/2020 12:00,25.319,34444.7,
452,8/5/2020 13:00,25.61,46844.8,
453,8/5/2020 14:00,25.513,74400.5,
454,8/5/2020 15:00,24.931,8611.2,
455,8/5/2020 16:00,25.028,13777.9,
456,8/5/2020 17:00,24.351,2927.8,
457,8/5/2020 18:00,24.931,8266.7,
458,8/5/2020 19:00,24.545,4477.8,
459,8/5/2020 20:00,24.448,635.1,
460,8/5/2020 21:00,24.158,0,
461,8/5/2020 22:00,23.966,0,
462,8/5/2020 23:00,23.869,0,
463,8/6/2020 0:00,23.677,0,
464,8/6/2020 1:00,23.484,0,
465,8/6/2020 2:00,23.388,0,
466,8/6/2020 3:00,23.196,0,
467,8/6/2020 4:00,23.004,0,
468,8/6/2020 5:00,22.812,0,
469,8/6/2020 6:00,22.717,32.3,
470,8/6/2020 7:00,22.621,1313.2,
471,8/6/2020 8:00,22.908,6544.5,
472,8/6/2020 9:00,23.196,11022.3,
473,8/6/2020 10:00,23.773,20666.8,
474,8/6/2020 11:00,23.581,42711.4,
475,8/6/2020 12:00,24.448,37200.2,
476,8/6/2020 13:00,24.641,38578,
477,8/6/2020 14:00,25.319,55111.5,
478,8/6/2020 15:00,24.641,14466.8,
479,8/6/2020 16:00,23.677,8611.2,
480,8/6/2020 17:00,23.388,3100,
481,8/6/2020 18:00,23.581,6200,
482,8/6/2020 19:00,23.388,1894.5,
483,8/6/2020 20:00,23.1,592,
484,8/6/2020 21:00,22.908,0,
485,8/6/2020 22:00,22.812,0,
486,8/6/2020 23:00,22.717,0,
487,8/7/2020 0:00,22.621,0,
488,8/7/2020 1:00,22.525,0,
489,8/7/2020 2:00,22.333,0,
490,8/7/2020 3:00,22.142,0,
491,8/7/2020 4:00,22.046,0,
492,8/7/2020 5:00,21.855,0,
493,8/7/2020 6:00,21.664,21.5,
494,8/7/2020 7:00,21.569,1087.2,
495,8/7/2020 8:00,21.855,6544.5,
496,8/7/2020 9:00,22.333,17911.2,
497,8/7/2020 10:00,22.717,17911.2,
498,8/7/2020 11:00,23.196,26178,
499,8/7/2020 12:00,23.869,44089.2,
500,8/7/2020 13:00,24.351,39955.8,
501,8/7/2020 14:00,24.835,41333.6,
502,8/7/2020 15:00,24.931,41333.6,
503,8/7/2020 16:00,24.641,35822.5,
504,8/7/2020 17:00,24.641,18600.1,
505,8/7/2020 18:00,24.255,13777.9,
506,8/7/2020 19:00,23.388,1302.4,
507,8/7/2020 20:00,23.196,527.4,
508,8/7/2020 21:00,23.292,0,
509,8/7/2020 22:00,23.1,0,
510,8/7/2020 23:00,22.812,0,
511,8/8/2020 0:00,22.717,0,
512,8/8/2020 1:00,22.525,0,
513,8/8/2020 2:00,22.333,0,
514,8/8/2020 3:00,22.142,0,
515,8/8/2020 4:00,21.951,0,
516,8/8/2020 5:00,21.76,0,
517,8/8/2020 6:00,21.569,21.5,
518,8/8/2020 7:00,21.569,914.9,
519,8/8/2020 8:00,21.855,7233.4,
520,8/8/2020 9:00,22.333,15844.5,
521,8/8/2020 10:00,22.717,27555.7,
522,8/8/2020 11:00,23.196,34444.7,
523,8/8/2020 12:00,23.869,39955.8,
524,8/8/2020 13:00,24.351,44089.2,
525,8/8/2020 14:00,24.738,37200.2,
526,8/8/2020 15:00,24.931,46844.8,
527,8/8/2020 16:00,24.641,34444.7,
528,8/8/2020 17:00,24.641,9300.1,
529,8/8/2020 18:00,24.255,12400.1,
530,8/8/2020 19:00,23.292,1334.7,
531,8/8/2020 20:00,23.196,495.1,
532,8/8/2020 21:00,23.196,0,
533,8/8/2020 22:00,23.196,0,
534,8/8/2020 23:00,23.196,0,
535,8/9/2020 0:00,23.004,0,
536,8/9/2020 1:00,22.812,0,
537,8/9/2020 2:00,22.621,0,
538,8/9/2020 3:00,22.429,0,
539,8/9/2020 4:00,22.333,0,
540,8/9/2020 5:00,22.142,0,
541,8/9/2020 6:00,21.951,10.8,
542,8/9/2020 7:00,21.951,1097.9,
543,8/9/2020 8:00,22.238,6544.5,
544,8/9/2020 9:00,22.717,16533.4,
545,8/9/2020 10:00,23.1,28933.5,
546,8/9/2020 11:00,23.773,33066.9,
547,8/9/2020 12:00,24.351,41333.6,
548,8/9/2020 13:00,24.835,46844.8,
549,8/9/2020 14:00,25.222,49600.3,
550,8/9/2020 15:00,25.222,21355.7,
551,8/9/2020 16:00,25.125,33066.9,
552,8/9/2020 17:00,24.931,28933.5,
553,8/9/2020 18:00,24.545,10333.4,
554,8/9/2020 19:00,23.773,1302.4,
555,8/9/2020 20:00,23.581,484.4,
556,8/9/2020 21:00,23.581,0,
557,8/9/2020 22:00,23.581,0,
558,8/9/2020 23:00,23.581,0,
559,8/10/2020 0:00,23.484,0,
560,8/10/2020 1:00,23.292,0,
561,8/10/2020 2:00,23.1,0,
562,8/10/2020 3:00,22.908,0,
563,8/10/2020 4:00,22.812,0,
564,8/10/2020 5:00,22.621,0,
565,8/10/2020 6:00,22.429,10.8,
566,8/10/2020 7:00,22.429,1033.3,
567,8/10/2020 8:00,22.621,7233.4,
568,8/10/2020 9:00,23.1,13089,
569,8/10/2020 10:00,23.484,24800.2,
570,8/10/2020 11:00,24.158,30311.3,
571,8/10/2020 12:00,24.738,38578,
572,8/10/2020 13:00,25.222,46844.8,
573,8/10/2020 14:00,25.319,46844.8,
574,8/10/2020 15:00,25.513,44089.2,
575,8/10/2020 16:00,25.805,38578,
576,8/10/2020 17:00,24.062,5166.7,
577,8/10/2020 18:00,24.351,7233.4,
578,8/10/2020 19:00,24.448,10333.4,
579,8/10/2020 20:00,23.966,925.7,
580,8/10/2020 21:00,23.869,0,
581,8/10/2020 22:00,23.869,0,
582,8/10/2020 23:00,23.869,0,
