lake,date_time,temp_c,depth
cedar,2021-09-06T07:00:00Z,17.843,2m
cedar,2021-09-06T08:00:00Z,17.748,2m
cedar,2021-09-06T09:00:00Z,17.819,2m
cedar,2021-09-06T10:00:00Z,17.962,2m
cedar,2021-09-06T11:00:00Z,18.057,2m
cedar,2021-09-06T12:00:00Z,18.343,2m
cedar,2021-09-06T13:00:00Z,18.771,2m
cedar,2021-09-06T14:00:00Z,19.294,2m
cedar,2021-09-06T15:00:00Z,19.603,2m
cedar,2021-09-06T16:00:00Z,19.817,2m
cedar,2021-09-06T17:00:00Z,20.293,2m
cedar,2021-09-06T18:00:00Z,20.246,2m
cedar,2021-09-06T19:00:00Z,20.293,2m
cedar,2021-09-06T20:00:00Z,19.984,2m
cedar,2021-09-06T21:00:00Z,19.674,2m
cedar,2021-09-06T22:00:00Z,19.389,2m
cedar,2021-09-06T23:00:00Z,19.175,2m
cedar,2021-09-07T00:00:00Z,18.985,2m
cedar,2021-09-07T01:00:00Z,18.842,2m
cedar,2021-09-07T02:00:00Z,18.699,2m
cedar,2021-09-07T03:00:00Z,18.58,2m
cedar,2021-09-07T04:00:00Z,18.461,2m
cedar,2021-09-07T05:00:00Z,18.343,2m
cedar,2021-09-07T06:00:00Z,18.224,2m
cedar,2021-09-07T07:00:00Z,18.129,2m
cedar,2021-09-07T08:00:00Z,18.057,2m
cedar,2021-09-07T09:00:00Z,18.176,2m
cedar,2021-09-07T10:00:00Z,18.319,2m
cedar,2021-09-07T11:00:00Z,18.461,2m
cedar,2021-09-07T12:00:00Z,18.747,2m
cedar,2021-09-07T13:00:00Z,19.365,2m
cedar,2021-09-07T14:00:00Z,19.77,2m
cedar,2021-09-07T15:00:00Z,20.317,2m
cedar,2021-09-07T16:00:00Z,20.865,2m
cedar,2021-09-07T17:00:00Z,21.008,2m
cedar,2021-09-07T18:00:00Z,20.889,2m
cedar,2021-09-07T19:00:00Z,20.77,2m
cedar,2021-09-07T20:00:00Z,20.555,2m
cedar,2021-09-07T21:00:00Z,20.341,2m
cedar,2021-09-07T22:00:00Z,20.103,2m
cedar,2021-09-07T23:00:00Z,19.888,2m
cedar,2021-09-08T00:00:00Z,19.722,2m
cedar,2021-09-08T01:00:00Z,19.603,2m
cedar,2021-09-08T02:00:00Z,19.484,2m
cedar,2021-09-08T03:00:00Z,19.365,2m
cedar,2021-09-08T04:00:00Z,19.246,2m
cedar,2021-09-08T05:00:00Z,19.127,2m
cedar,2021-09-08T06:00:00Z,19.056,2m
cedar,2021-09-08T07:00:00Z,18.961,2m
cedar,2021-09-08T08:00:00Z,18.937,2m
cedar,2021-09-08T09:00:00Z,18.985,2m
cedar,2021-09-08T10:00:00Z,19.127,2m
cedar,2021-09-08T11:00:00Z,19.175,2m
cedar,2021-09-08T12:00:00Z,19.318,2m
cedar,2021-09-08T13:00:00Z,19.627,2m
cedar,2021-09-08T14:00:00Z,19.746,2m
cedar,2021-09-08T15:00:00Z,20.246,2m
cedar,2021-09-08T16:00:00Z,20.388,2m
cedar,2021-09-08T17:00:00Z,20.603,2m
cedar,2021-09-08T18:00:00Z,20.65,2m
cedar,2021-09-08T19:00:00Z,20.603,2m
cedar,2021-09-08T20:00:00Z,20.46,2m
cedar,2021-09-08T21:00:00Z,20.317,2m
cedar,2021-09-08T22:00:00Z,20.174,2m
cedar,2021-09-08T23:00:00Z,20.031,2m
cedar,2021-09-09T00:00:00Z,19.912,2m
cedar,2021-09-09T01:00:00Z,19.793,2m
cedar,2021-09-09T02:00:00Z,19.674,2m
cedar,2021-09-09T03:00:00Z,19.579,2m
cedar,2021-09-09T04:00:00Z,19.46,2m
cedar,2021-09-09T05:00:00Z,19.365,2m
cedar,2021-09-09T06:00:00Z,19.27,2m
cedar,2021-09-09T07:00:00Z,19.175,2m
cedar,2021-09-09T08:00:00Z,19.103,2m
cedar,2021-09-09T09:00:00Z,19.222,2m
cedar,2021-09-09T10:00:00Z,19.27,2m
cedar,2021-09-09T11:00:00Z,19.389,2m
cedar,2021-09-09T12:00:00Z,19.579,2m
cedar,2021-09-09T13:00:00Z,19.651,2m
cedar,2021-09-09T14:00:00Z,19.817,2m
cedar,2021-09-09T15:00:00Z,20.055,2m
cedar,2021-09-09T16:00:00Z,20.103,2m
cedar,2021-09-09T17:00:00Z,20.198,2m
cedar,2021-09-09T18:00:00Z,20.198,2m
cedar,2021-09-09T19:00:00Z,20.126,2m
cedar,2021-09-09T20:00:00Z,20.007,2m
cedar,2021-09-09T21:00:00Z,19.912,2m
cedar,2021-09-09T22:00:00Z,19.841,2m
cedar,2021-09-09T23:00:00Z,19.77,2m
cedar,2021-09-10T00:00:00Z,19.722,2m
cedar,2021-09-10T01:00:00Z,19.627,2m
cedar,2021-09-10T02:00:00Z,19.555,2m
cedar,2021-09-10T03:00:00Z,19.436,2m
cedar,2021-09-10T04:00:00Z,19.341,2m
cedar,2021-09-10T05:00:00Z,19.27,2m
cedar,2021-09-10T06:00:00Z,19.175,2m
cedar,2021-09-10T07:00:00Z,19.103,2m
cedar,2021-09-10T08:00:00Z,19.008,2m
cedar,2021-09-10T09:00:00Z,18.985,2m
cedar,2021-09-10T10:00:00Z,19.127,2m
cedar,2021-09-10T11:00:00Z,19.175,2m
cedar,2021-09-10T12:00:00Z,19.341,2m
cedar,2021-09-10T13:00:00Z,19.603,2m
cedar,2021-09-10T14:00:00Z,19.793,2m
cedar,2021-09-10T15:00:00Z,19.912,2m
cedar,2021-09-10T16:00:00Z,19.865,2m
cedar,2021-09-10T17:00:00Z,19.77,2m
cedar,2021-09-10T18:00:00Z,19.722,2m
cedar,2021-09-10T19:00:00Z,19.627,2m
cedar,2021-09-10T20:00:00Z,19.508,2m
cedar,2021-09-10T21:00:00Z,19.389,2m
cedar,2021-09-10T22:00:00Z,19.318,2m
cedar,2021-09-10T23:00:00Z,19.246,2m
cedar,2021-09-11T00:00:00Z,19.151,2m
cedar,2021-09-11T01:00:00Z,19.08,2m
cedar,2021-09-11T02:00:00Z,18.985,2m
cedar,2021-09-11T03:00:00Z,18.866,2m
cedar,2021-09-11T04:00:00Z,18.747,2m
cedar,2021-09-11T05:00:00Z,18.628,2m
cedar,2021-09-11T06:00:00Z,18.485,2m
cedar,2021-09-11T07:00:00Z,18.39,2m
cedar,2021-09-11T08:00:00Z,18.295,2m
cedar,2021-09-11T09:00:00Z,18.39,2m
cedar,2021-09-11T10:00:00Z,18.414,2m
cedar,2021-09-11T11:00:00Z,18.509,2m
cedar,2021-09-11T12:00:00Z,18.771,2m
cedar,2021-09-11T13:00:00Z,19.056,2m
cedar,2021-09-11T14:00:00Z,19.389,2m
cedar,2021-09-11T15:00:00Z,19.555,2m
cedar,2021-09-11T16:00:00Z,19.746,2m
cedar,2021-09-11T17:00:00Z,19.888,2m
cedar,2021-09-11T18:00:00Z,20.174,2m
cedar,2021-09-11T19:00:00Z,19.936,2m
cedar,2021-09-11T20:00:00Z,19.698,2m
cedar,2021-09-11T21:00:00Z,19.484,2m
cedar,2021-09-11T22:00:00Z,19.294,2m
cedar,2021-09-11T23:00:00Z,19.127,2m
cedar,2021-09-12T00:00:00Z,18.961,2m
cedar,2021-09-12T01:00:00Z,18.866,2m
cedar,2021-09-12T02:00:00Z,18.723,2m
cedar,2021-09-12T03:00:00Z,18.628,2m
cedar,2021-09-12T04:00:00Z,18.533,2m
cedar,2021-09-12T05:00:00Z,18.414,2m
cedar,2021-09-12T06:00:00Z,18.295,2m
cedar,2021-09-12T07:00:00Z,18.176,2m
cedar,2021-09-12T08:00:00Z,18.081,2m
cedar,2021-09-12T09:00:00Z,18.152,2m
cedar,2021-09-12T10:00:00Z,18.295,2m
cedar,2021-09-12T11:00:00Z,18.319,2m
cedar,2021-09-12T12:00:00Z,18.461,2m
cedar,2021-09-12T13:00:00Z,18.961,2m
cedar,2021-09-12T14:00:00Z,19.27,2m
cedar,2021-09-12T15:00:00Z,19.46,2m
cedar,2021-09-12T16:00:00Z,20.007,2m
cedar,2021-09-12T17:00:00Z,19.96,2m
cedar,2021-09-12T18:00:00Z,20.15,2m
cedar,2021-09-12T19:00:00Z,19.96,2m
cedar,2021-09-12T20:00:00Z,19.722,2m
cedar,2021-09-12T21:00:00Z,19.532,2m
cedar,2021-09-12T22:00:00Z,19.341,2m
cedar,2021-09-12T23:00:00Z,19.151,2m
cedar,2021-09-13T00:00:00Z,18.985,2m
cedar,2021-09-13T01:00:00Z,18.842,2m
cedar,2021-09-13T02:00:00Z,18.699,2m
cedar,2021-09-13T03:00:00Z,18.58,2m
cedar,2021-09-13T04:00:00Z,18.461,2m
cedar,2021-09-13T05:00:00Z,18.343,2m
cedar,2021-09-13T06:00:00Z,18.247,2m
cedar,2021-09-13T07:00:00Z,18.105,2m
cedar,2021-09-13T08:00:00Z,18.033,2m
cedar,2021-09-13T09:00:00Z,18.105,2m
cedar,2021-09-13T10:00:00Z,18.224,2m
cedar,2021-09-13T11:00:00Z,18.271,2m
cedar,2021-09-13T12:00:00Z,18.414,2m
cedar,2021-09-13T13:00:00Z,18.866,2m
cedar,2021-09-13T14:00:00Z,19.341,2m
cedar,2021-09-13T15:00:00Z,19.651,2m
cedar,2021-09-13T16:00:00Z,19.912,2m
cedar,2021-09-13T17:00:00Z,20.317,2m
cedar,2021-09-13T18:00:00Z,20.246,2m
cedar,2021-09-13T19:00:00Z,20.007,2m
cedar,2021-09-13T20:00:00Z,19.793,2m
cedar,2021-09-13T21:00:00Z,19.532,2m
cedar,2021-09-13T22:00:00Z,19.341,2m
cedar,2021-09-13T23:00:00Z,19.151,2m
cedar,2021-09-14T00:00:00Z,18.985,2m
cedar,2021-09-14T01:00:00Z,18.818,2m
cedar,2021-09-14T02:00:00Z,18.675,2m
cedar,2021-09-14T03:00:00Z,18.58,2m
cedar,2021-09-14T04:00:00Z,18.438,2m
cedar,2021-09-14T05:00:00Z,18.319,2m
cedar,2021-09-14T06:00:00Z,18.2,2m
cedar,2021-09-14T07:00:00Z,18.105,2m
cedar,2021-09-14T08:00:00Z,18.01,2m
cedar,2021-09-14T09:00:00Z,18.081,2m
cedar,2021-09-14T10:00:00Z,18.2,2m
cedar,2021-09-14T11:00:00Z,18.271,2m
cedar,2021-09-14T12:00:00Z,18.533,2m
cedar,2021-09-14T13:00:00Z,18.889,2m
cedar,2021-09-14T14:00:00Z,19.246,2m
cedar,2021-09-14T15:00:00Z,19.627,2m
cedar,2021-09-14T16:00:00Z,19.888,2m
cedar,2021-09-14T17:00:00Z,20.079,2m
cedar,2021-09-14T18:00:00Z,20.603,2m
cedar,2021-09-14T19:00:00Z,20.365,2m
cedar,2021-09-14T20:00:00Z,20.079,2m
cedar,2021-09-14T21:00:00Z,19.817,2m
cedar,2021-09-14T22:00:00Z,19.555,2m
cedar,2021-09-14T23:00:00Z,19.318,2m
cedar,2021-09-15T00:00:00Z,19.127,2m
cedar,2021-09-15T01:00:00Z,18.961,2m
cedar,2021-09-15T02:00:00Z,18.842,2m
cedar,2021-09-15T03:00:00Z,18.699,2m
cedar,2021-09-15T04:00:00Z,18.58,2m
cedar,2021-09-15T05:00:00Z,18.461,2m
cedar,2021-09-15T06:00:00Z,18.319,2m
cedar,2021-09-15T07:00:00Z,18.224,2m
cedar,2021-09-15T08:00:00Z,18.176,2m
cedar,2021-09-15T09:00:00Z,18.2,2m
cedar,2021-09-15T10:00:00Z,18.319,2m
cedar,2021-09-15T11:00:00Z,18.343,2m
cedar,2021-09-15T12:00:00Z,18.509,2m
cedar,2021-09-15T13:00:00Z,18.866,2m
cedar,2021-09-15T14:00:00Z,19.151,2m
cedar,2021-09-15T15:00:00Z,19.508,2m
cedar,2021-09-15T16:00:00Z,19.793,2m
cedar,2021-09-15T17:00:00Z,19.912,2m
cedar,2021-09-15T18:00:00Z,19.888,2m
cedar,2021-09-15T19:00:00Z,19.674,2m
cedar,2021-09-15T20:00:00Z,19.413,2m
cedar,2021-09-15T21:00:00Z,19.199,2m
cedar,2021-09-15T22:00:00Z,19.032,2m
cedar,2021-09-15T23:00:00Z,18.866,2m
cedar,2021-09-16T00:00:00Z,18.747,2m
cedar,2021-09-16T01:00:00Z,18.628,2m
cedar,2021-09-16T02:00:00Z,18.509,2m
cedar,2021-09-16T03:00:00Z,18.438,2m
cedar,2021-09-16T04:00:00Z,18.343,2m
cedar,2021-09-16T05:00:00Z,18.2,2m
cedar,2021-09-16T06:00:00Z,18.081,2m
cedar,2021-09-16T07:00:00Z,17.986,2m
cedar,2021-09-16T08:00:00Z,17.915,2m
cedar,2021-09-16T09:00:00Z,17.962,2m
cedar,2021-09-16T10:00:00Z,18.057,2m
cedar,2021-09-16T11:00:00Z,18.081,2m
cedar,2021-09-16T12:00:00Z,18.271,2m
cedar,2021-09-16T13:00:00Z,18.604,2m
cedar,2021-09-16T14:00:00Z,19.103,2m
cedar,2021-09-16T15:00:00Z,19.674,2m
cedar,2021-09-16T16:00:00Z,19.912,2m
cedar,2021-09-16T17:00:00Z,20.055,2m
cedar,2021-09-16T18:00:00Z,19.888,2m
cedar,2021-09-16T19:00:00Z,19.651,2m
cedar,2021-09-16T20:00:00Z,19.484,2m
cedar,2021-09-16T21:00:00Z,19.199,2m
cedar,2021-09-16T22:00:00Z,18.985,2m
cedar,2021-09-16T23:00:00Z,18.818,2m
cedar,2021-09-17T00:00:00Z,18.628,2m
cedar,2021-09-17T01:00:00Z,18.509,2m
cedar,2021-09-17T02:00:00Z,18.39,2m
cedar,2021-09-17T03:00:00Z,18.295,2m
cedar,2021-09-17T04:00:00Z,18.152,2m
cedar,2021-09-17T05:00:00Z,18.01,2m
cedar,2021-09-17T06:00:00Z,17.891,2m
cedar,2021-09-17T07:00:00Z,17.748,2m
cedar,2021-09-17T08:00:00Z,17.653,2m
cedar,2021-09-17T09:00:00Z,17.748,2m
cedar,2021-09-17T10:00:00Z,17.748,2m
cedar,2021-09-17T11:00:00Z,17.867,2m
cedar,2021-09-17T12:00:00Z,18.01,2m
cedar,2021-09-17T13:00:00Z,18.39,2m
cedar,2021-09-17T14:00:00Z,18.747,2m
cedar,2021-09-17T15:00:00Z,19.199,2m
cedar,2021-09-17T16:00:00Z,19.532,2m
cedar,2021-09-17T17:00:00Z,19.484,2m
cedar,2021-09-17T18:00:00Z,19.413,2m
cedar,2021-09-17T19:00:00Z,19.151,2m
cedar,2021-09-17T20:00:00Z,18.889,2m
cedar,2021-09-17T21:00:00Z,18.628,2m
cedar,2021-09-17T22:00:00Z,18.485,2m
cedar,2021-09-17T23:00:00Z,18.343,2m
cedar,2021-09-18T00:00:00Z,18.2,2m
cedar,2021-09-18T01:00:00Z,18.105,2m
cedar,2021-09-18T02:00:00Z,17.986,2m
cedar,2021-09-18T03:00:00Z,17.915,2m
cedar,2021-09-18T04:00:00Z,17.772,2m
cedar,2021-09-18T05:00:00Z,17.605,2m
cedar,2021-09-18T06:00:00Z,17.463,2m
cedar,2021-09-18T07:00:00Z,17.225,2m
cedar,2021-09-18T08:00:00Z,17.106,2m
cedar,2021-09-18T09:00:00Z,17.011,2m
cedar,2021-09-18T10:00:00Z,16.844,2m
cedar,2021-09-18T11:00:00Z,16.701,2m
cedar,2021-09-18T12:00:00Z,16.63,2m
cedar,2021-09-18T13:00:00Z,16.582,2m
cedar,2021-09-18T14:00:00Z,16.463,2m
cedar,2021-09-18T15:00:00Z,16.415,2m
cedar,2021-09-18T16:00:00Z,16.344,2m
cedar,2021-09-18T17:00:00Z,16.32,2m
cedar,2021-09-18T18:00:00Z,16.272,2m
cedar,2021-09-18T19:00:00Z,16.177,2m
cedar,2021-09-18T20:00:00Z,16.082,2m
cedar,2021-09-18T21:00:00Z,16.01,2m
cedar,2021-09-18T22:00:00Z,15.915,2m
cedar,2021-09-18T23:00:00Z,15.796,2m
cedar,2021-09-19T00:00:00Z,15.724,2m
cedar,2021-09-19T01:00:00Z,15.581,2m
cedar,2021-09-19T02:00:00Z,15.438,2m
cedar,2021-09-19T03:00:00Z,15.27,2m
cedar,2021-09-19T04:00:00Z,15.151,2m
cedar,2021-09-19T05:00:00Z,15.055,2m
cedar,2021-09-19T06:00:00Z,14.936,2m
cedar,2021-09-19T07:00:00Z,14.816,2m
cedar,2021-09-19T08:00:00Z,14.721,2m
cedar,2021-09-19T09:00:00Z,14.673,2m
cedar,2021-09-19T10:00:00Z,14.553,2m
cedar,2021-09-19T11:00:00Z,14.721,2m
cedar,2021-09-19T12:00:00Z,14.84,2m
cedar,2021-09-19T13:00:00Z,14.96,2m
cedar,2021-09-19T14:00:00Z,15.175,2m
cedar,2021-09-19T15:00:00Z,15.414,2m
cedar,2021-09-19T16:00:00Z,15.819,2m
cedar,2021-09-19T17:00:00Z,16.129,2m
cedar,2021-09-19T18:00:00Z,16.01,2m
cedar,2021-09-19T19:00:00Z,15.796,2m
cedar,2021-09-19T20:00:00Z,15.605,2m
cedar,2021-09-19T21:00:00Z,15.461,2m
cedar,2021-09-19T22:00:00Z,15.294,2m
cedar,2021-09-19T23:00:00Z,15.199,2m
cedar,2021-09-20T00:00:00Z,15.079,2m
