lake,date,temp_03.8,temp_04.6,temp_08.4,temp_13.4,temp_18.4,temp_23.3,temp_24.3,temp_sediment,do_mg_l,do_sat,light_3.8,cond_24.3,level_4.6
cliff,2019-09-24,16.03783333333333,15.349958333333333,15.297291666666666,8.343291666666667,6.047083333333333,5.139833333333334,4.617916666666667,4.999,0.087,0.8476711666666666,3583.4958333333334,16.3,120.076375
cliff,2019-09-25,16.157166666666665,15.485333333333333,15.35,8.378541666666667,6.072583333333333,5.134,4.624583333333334,4.999,0.08708333333333333,0.8483505833333334,3405.8875000000003,16.35,119.748
cliff,2019-09-26,16.284166666666668,15.6125,15.396958333333334,8.36825,6.078875,5.151416666666667,4.644583333333333,4.999,0.08695833333333333,0.8475174166666667,3248.920833333333,16.141666666666666,119.44987499999999
cliff,2019-09-27,16.165166666666664,15.644208333333333,15.429708333333334,8.392083333333334,6.068333333333333,5.139375,4.650416666666667,4.999,0.08695833333333333,0.8472542916666667,1660.3416666666667,15.625,118.99175
cliff,2019-09-28,15.711833333333333,15.190708333333333,15.235666666666667,8.413791666666667,6.076875,5.1385,4.653333333333333,4.999,0.087125,0.848860125,2192.7083333333335,15.775,118.45125
cliff,2019-09-29,14.780083333333334,14.337375,14.435208333333334,8.4315,6.100083333333333,5.13075,4.647916666666667,5.001083333333333,0.08716666666666666,0.8490936666666666,903.725,15.7625,118.51270833333334
cliff,2019-09-30,14.16975,13.693958333333333,13.806000000000001,8.4315,6.084208333333334,5.1330833333333334,4.6425,5.024,0.08691666666666666,0.84671175,1545.0791666666667,15.991666666666667,118.87745833333334
cliff,2019-10-01,13.921666666666667,13.317,13.369125,8.447125,6.094833333333334,5.132666666666666,4.647916666666667,5.024,0.08720833333333333,0.8495417083333333,3001.3458333333333,16.21666666666667,119.22170833333334
cliff,2019-10-02,13.681333333333333,13.068125,13.123333333333333,8.449125,6.087375,5.147291666666667,4.654583333333333,5.024,0.08708333333333333,0.8486459166666667,2665.425,16.120833333333334,119.33270833333333
cliff,2019-10-03,13.573125000000001,12.98775,13.036,8.486416666666667,6.10225,5.15925,4.665,5.024,0.087,0.8480958333333334,2479.7458333333334,16.108333333333334,119.185375
